"%s file does not exists or is not readable","Datoteka %s ne obstaja ali pa ni na voljo za branje"
"-- Please Select --","-- Prosimo, izberite --"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entiteta tipa modela mora biti instanca Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entiteta tipa modela mora biti instanca Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Napaka v strukturi podatkov: obnašanja so mešana"
"Error in data structure: entity codes are mixed","Napaka v strukturi podatkov: kode entitete so mešane"
"Errors limit (%d) reached. Please fix errors and re-upload file","Omejitev napak (%d) dosežena. Prosimo, popravite napake in ponovno naložite datoteko"
"Escape CSV fields","Ubežanje CSV polje"
"Export","Izvoz"
"Export File Format","Format datoteke izvoza"
"Export Settings","Nastavitve izvoza"
"Export has been done.","Izvoz je bil narejen."
"Exported %s rows.","Izvožene vrstice %s."
"File does not contain data.","Datoteka ne vsebuje podatkov."
"File does not contain data. Please upload another one","Datoteka ne vsebuje podatkov. Prosimo, naložite drugo"
"File format is unknown","Format datoteke je neznan"
"File is partially valid, but import is not possible","Datoteka je delno veljavna, vendar uvoz ni možen"
"File is totally invalid. Please fix errors and re-upload file","Datoteka je popolnoma neveljavna. Prosimo, popravite napake in ponovno naložite datoteko"
"File is valid! To start import process press ""Import"" button","Datoteka je veljavna! Za začetek procesa uvažanja pritisnite gumb ""Uvoz"""
"File is valid, but import is not possible","Datoteka je veljavna, vendar uvoz ni možen"
"File was not uploaded","Datoteka ni bila naložena"
"Filter","Filter"
"From","Od"
"Header column names already set","Imena stolpca glave so že nastavljena"
"Import","Uvoz"
"Import Behavior","Uvoz obnašanja"
"Import Settings","Uvoz nastavitev"
"Import has been done successfuly.","Uvoz je bil uspešno narejen."
"Import successfully done.","Uvoz uspešno narejen."
"Import/Export","Uvoz/Izvoz"
"Input entity code is not equal to entity adapter code","Koda entitete vnosa ni enaka kodi entitete adapterja"
"Invalid entity","Neveljavna entiteta"
"Invalid entity model","Neveljaven model entitete"
"Invalid file format","Neveljaven format datoteke"
"Invalid parameters","Neveljavni parametri"
"Invalid seek position","Neveljavna pozicija iskanja"
"Invalid value for '%s'","Neveljavna vrednost za '%s'"
"Invalid value for '%s' column","Neveljavna vrednost za stolpec '%s'"
"No filter data provided","Nobenih podatkov filtra ni bilo ponujenih"
"No source specified","Nobenega izvora ni bilo določenega"
"No valid data sent","Nobeni veljavni podatki niso bili poslani"
"No writer specified","Noben pisalec določen"
"Node does not has model token tag","Vozlišče nima oznake žetona modela"
"Not implemented yet","Ni še implementirano"
"Please fix errors and re-upload file","Prosimo, popravite napake in ponovno naložite datoteko"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Prosimo, popravite napake in ponovno naložite datoteko ali enostavno pritisnite gumb ""Uvoz"", da preskočite vrstice z napakami"
"Products","Produkti"
"Replace Existing Complex Data","Zamenjava obstoječih kompleksnih podatkov"
"Select File to Import","Izberite datoteko za uvoz"
"Skip","Prekočite"
"Source file moving failed","Premikanje izvorne datoteke ni uspešno"
"Source file path must be a string","Pot izvorne datoteke mora biti niz"
"Source is not set","Izvor ni nastavljen"
"Status","Status"
"There are no product types available for export","Nobeni tipi produktov niso na voljo za izvoz"
"There is no data for export","Ni podatkov za izvoz"
"To","Za"
"Total size of uploadable files must not exceed %s","Skupna velikost naloženih datotek ne sme preseči %s"
"Unknown attribute filter type","Neznani tip filtra atributa"
"Uploaded file has no extension","Naložena datoteka nima razširitve"
"Validation finished successfully","Preverjanje uspešno končano"
"in rows","v vrsticah"
"in rows:","v vrsticah:"
