"# of Use","Št. uporabe"
"%1$s incl tax.","%1$s vključno z davkom."
"%s - %s","%s - %s"
"%s Item(s)","Elementov: %s"
"%s and above","%s in več"
"%s-%s of %s","%s-%s od %s"
"Backend Table Title","Naslov tabele ozadja"
"Backorders","Prednaročila"
"Base Image Width","Širina osnovne slike"
"Based On","Osnovano na"
"Before Order Confirmation","Pred potrditvijo naročila"
"Best Value","Najboljša vrednost"
"Block after Info Column","Blok za stolpcem informacij"
"Bottom Block Options Wrapper","Ovitek možnosti spodnjega bloka"
"Bottom/Left","Spodaj/levo"
"Bottom/Right","Spodaj/desno"
"Browse By","Brskajte po"
"Bundle Items","Zapakiranje elementov"
"Buy %1$s","Nakup %1$s"
"Buy %1$s for","Nakup %1$s za"
"Buy %1$s for %2$s","Nakup %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Nakup %1$s za %2$s (%3$s vključno z davkom) vsak"
"Buy %1$s for %2$s each","Nakup %1$s za %2$s vsak"
"Cache Lifetime (Seconds)","Življenska doba predpomnilnika (sekunde)"
"Cache refresh needed.","Potrebna je osvežitev predpomnilnika."
"Can be Divided into Multiple Boxes for Shipping","Lahko je razdeljeno v več paketov za dostavo"
"Can be used only with catalog input type Dropdown","Lahko je uporabljeno samo s katalogom vnosnega tipa spustnega seznama"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Lahko je uporabljeno samo s katalogom vnosnega tipa spustnega seznama, večkratnega izbirnika in cene"
"Can\'t create image.","Slike ni mogoče ustvariti."
"Cancel","Preklic"
"Cannot create image.","Slike ni mogoče ustvariti."
"Cannot create writeable directory '%s'.","Zapisljivega direktorija '%s' ni mogoče ustvariti."
"Cart Item Attribute","Atribut elementa košarice"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategorija kataloga (sidro)"
"Catalog Category (Non-Anchor)","Kategrija kataloga (ni sidro)"
"Catalog Category (Without Subcategories)","Kategorija kataloga (brez podkategorij)"
"Catalog Category Link","Povezava kategorije kataloga"
"Catalog New Products List","Seznam novih produktov kataloga"
"Catalog Price Scope","Obseg cene kataloga"
"Catalog Product Compare List","Primerjalni seznam produktov kataloga"
"Catalog Product Email to a Friend","Pošlji prijatelju e-pošto produkta kataloga"
"Catalog Product Image Gallery Popup","Pojavno okence galerije slik produktov kataloga"
"Catalog Product Link","Povezava produkta kataloga"
"Catalog Product View (Any)","Pogled produkta kataloga (katerikoli)"
"Catalog Product View (Configurable)","Pogled produkta kataloga (nastavljivo)"
"Catalog Product View (Grouped)","Pogled produkta kataloga (združeno)"
"Catalog Product View (Simple)","Pogled produkta kataloga (enostavno)"
"Catalog Product View (Virtual)","Pogled produkta kataloga (virtualno)"
"Catalog Section","Sekcija kataloga"
"Catalog Seo Sitemap (Category List)","SEO kazalo strani kataloga (seznam kategorij)"
"Catalog Seo Sitemap (Category Tree)","SEO kazalo strani kataloga (drevo kategorij)"
"Catalog Seo Sitemap (Common)","SEO kazalo strani kataloga (pogosto)"
"Catalog Seo Sitemap (Product List)","SEO kazalo strani kataloga (seznam produktov)"
"Catalog URL Rewrites","Prepisi URL-jev kataloga"
"Catalog product custom option values API","API vrednosti možnosti po meri produkta kataloga"
"Catalog product custom options API","API možnosti po meri produkta kataloga"
"Catalog, Search","Katalog, iskanje"
"Categories","Kategorije"
"Categories Sitemap","Kazalo strani kategorij"
"Category","Kategorija"
"Category API","API kategorije"
"Category Data","Podatki kategorije"
"Category Flat Data","Nepovezani podatki kategorije"
"Category Link Block Template","Predloga bloka povezave kategorije"
"Category Link Inline Template","Medvrstična predloga povezave kategorije"
"Category Products","Produkti kategorije"
"Category Top Navigation","Zgornja navigacija kategorije"
"Category URL Suffix","URL pripona kategorije"
"Category attributes API","API atributov kategorije"
"Category move error","Napaka pri premiku kategorije"
"Category move error %s","Napaka premika kategorije %s"
"Category move operation is not possible: parent category is equal to child category.","Operacija premika kategorije ni možna: nadrejena kategorija je enaka podrejeni kategoriji."
"Category move operation is not possible: the current category was not found.","Operacija premika kategorije ni možna: trenutne kategorije ni mogoče najti."
"Category move operation is not possible: the new parent category was not found.","peracija premika kategorije ni možna: nove nadrejene kategorije ni mogoče najti."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorija mora biti instanca Mage_Catalog_Model_Category."
"Center","Center"
"Change","Sprememba"
"Change or Retrieve attribute store view","Sprememba ali povrnitev pogleda trgovine atributa"
"Change status","Spremenite status"
"Check items to add to the cart or","Preverite elemente za dodajanje v košarico ali"
"Choose an Option...","Izberite možnost ..."
"Clear All","Počistite vse"
"Clear Price","Počistite ceno"
"Click for price","Kliknite za ceno"
"Close Window","Zaprite okno"
"Collapse All","Strnite vse"
"Comma-separated.","Ločeno z vejico."
"Comparable","Primerljivo"
"Comparable on Front-end","Primerljivo na ospredju"
"Comparable on the Frontend","Primerljivo na ospredju"
"Compare","Primerjajte"
"Compare Products","Primerjajte produkte"
"Conditions Combination","Kombinacija pogojev"
"Configurable Product","Nastavljivi produkt"
"Configurable Product Settings","Nastavitve nastavljivega produkta"
"Configure Product","Nastavite produkt"
"Continue","Nadaljevanje"
"Copy From Configurable","Kopirajte iz nastavljivega"
"Country/State","Država/zvezna država"
"Create","Ustvarite"
"Create (Upload)","Ustvarite (Naložite)"
"Create Empty","Ustvarite prazno"
"Create Permanent Redirect for URLs if URL Key Changed","Ustvarite trajno preusmeritev za URL-je, če je URL ključ spremenjen"
"Create Permanent Redirect for old URL","Ustvarite trajno preumeritev starega URL"
"Create Product Settings","Ustvarite nastavitve produkta"
"Create Simple Associated Product","Ustvarite enostavni povezani produkt"
"Create attribute set based on another set","Ustvarite nabor atributov na osnovi drugega nabora"
"Create new attribute","Ustvarite nov atribut"
"Create new category","Ustvarite novo kategorijo"
"Create new product","Ustvarite nov produkt"
"Cross-sells","Navzkrižna prodaja"
"Currently Shopping by:","Trenutno nakupuje:"
"Custom Design","Oblika po meri"
"Custom Options","Možnosti po meri"
"Custom options","Možnosti po meri"
"Customer Group","Skupina kupca"
"Customers Reviews","Mnenja kupcev"
"Customers Tagged Product","Označeni produkt kupcev"
"Data Type for Saving in Database","Podatkovni tip za shranjevanje v podatkovno bazo"
"Date & Time Custom Options","Možnosti po meri datuma in časa"
"Date Fields Order","Vrstni red polj datumov"
"Date Subscribed","Datum naročnine"
"Datetime","Datum in čas"
"Decimal","Decimalno"
"Declare attribute value saving scope","Določite obseg varčevanja vrednosti atributa"
"Default ""What's This"" Text Message","Privzeto tekstovno sporočilo ""Kaj je to"""
"Default Popup Text Message","Privzeto tekstovno sporočilo pojavnega okenca"
"Default Price","Privzeta cena"
"Default Price Navigation Step","Privzeti navigacijski korak cene"
"Default Qty","Privzeta količina"
"Default Values","Privzete vrednosti"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definira obseg osnovne valute (""Nastavitve valute"" > ""Možnosti valute"" > ""Osnovna baluta"")."
"Delete","Izbrišite"
"Delete Attribute","Izbrišite atribut"
"Delete Attribute Set","Izbrišite nabor atributov"
"Delete Category","Izbrišite kategorijo"
"Delete Group Price","Izbrišite ceno skupine"
"Delete Option","Izbrišite možnost"
"Delete Row","Izbrišite vrstico"
"Delete Search","Izbrišite iskanje"
"Delete Selected Group","Izbrišite izbrano skupino"
"Delete Tier","Izbrišite stopnjo"
"Delete attribute","Izbrišite atribut"
"Delete category","Izbrišite kategorijo"
"Delete product","Izbrišite produkt"
"Depends on design theme","Zavisi od predloge oblike"
"Description","Opis"
"Design","Oblika"
"Details","Podrobnosti"
"Disabled","Onemogočeno"
"Disallowed file type.","Nedovoljen tip datoteke."
"Display Actual Price","Prikažite dejansko ceno"
"Display Page Control","Prikažite nadzor strani"
"Display Price Interval as One Price","Prikažite cenovni rang kot eno ceno"
"Display Product Count","Prikažite število produktov"
"Display Type","Prikažite tip"
"Display in Suggested Terms","Prikažite v predlaganih izrazih"
"Double click on a group to rename it","Za preimenovanje dvakrat kliknite na skupino"
"Double click on above image to view full picture","Dvakrat kliknite na zgornjo sliko za ogled celotne slike"
"Downloadable Information","Prenosljive informacije"
"Duplicate","Dvojnik"
"Duplicate amount found.","Najden je bil podvojeni znesek."
"Duplicate website group price customer group.","Dvojnik skupine kupca spletne skupine cene."
"Duplicate website tier price customer group and quantity.","Dvojna cenovna stopnja spletne strani skupine kupca in količina."
"Duplicate website, country and state tax found.","Najdeni dvojniki spletne strani, države in državnega davka."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Npr. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Prevajanje dinamičnih direktiv vpliva na zmogljivost kataloga."
"Edit","Urejanje"
"Edit Attribute Set '%s'","Uredite nabor atributov '%s'"
"Edit Product Attribute","Uredite atribut produkta"
"Edit Product Attribute ""%s""","Uredite atribut produkta ""%s"""
"Edit Search","Uredite iskanje"
"Edit Search '%s'","Uredite iskanje '%s'"
"Edit Set Name","Uredite ime nabora"
"Email","E-pošta"
"Email to a Friend","Pošljite e-pošto prijatelju"
"Empty","Prazno"
"Enable MAP","Omogočite MAP (najnižja oglaševana cena)"
"Enable Qty Increments","Omogočite inkremente količine"
"Enable WYSIWYG","Omogočite WYSIWYG"
"Enable for reindexing a big number of SKUs.","Omogočite za ponovno indeksiranje velikega števila SKU-jev."
"Enabled","Omogočeno"
"Error during retrieval of option value: %s","Napaka med pridobivanjem vrednosti možnosti: %s"
"Exclude","Izključite"
"Expand All","Razširite vse"
"Failed","Ni uspešno"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Kopiranje datoteke %s ni uspelo. Prosimo, izbrišite medije z neobstoječimi slikami om poskusite ponovno."
"Failed to move file: %s","Neuspešen premik datoteke: %s"
"Feature Products","Izbrani izdelki"
"Field is not complete","Polje ni zaključeno"
"File options format is not valid.","Format možnosti datoteke ni veljaven."
"File upload failed","Nalaganje datoteke ni bilo uspešno"
"Filter","Filter"
"Filter model name must be declared.","Ime modela filtra mora biti določeno."
"Filter must be an object. Please set correct filter.","Filter mora biti objekt. Prosimo, nastavite ustrezni filter."
"Filterable (no results)","Filtrirno (ni rezultatov)"
"Filterable (with results)","Filtrirno (z rezultati)"
"First Name","Ime"
"Fixed","Fiksno"
"For internal use.","Za interno uporabo."
"For the last time placed.","Postavljeno v zadnjem času."
"Frontend","Ospredje"
"Frontend Model","Model ospredja"
"Frontend Properties","Lastnosti ospredja"
"Gallery","Galerija"
"General Information","Splošne informacije"
"Get full information about attribute with list of options","Dobite polne informacije o atributu s seznamom možnosti"
"Get full information about custom option in product","Dobite polne informacije o možnosti po meri v produktu"
"Get list of available custom option types","Dobite seznam tipov možnosti po meri, ki so na voljo"
"Get list of non-default attributes by product type and attributes set","Dobite seznam ne-privzetih atributov po tipu produkta in naboru atributov"
"Get list of possible attribute types","Dobite seznam možnih tipov atributa"
"Get special price","Dobite posebno ceno"
"Global","Globalno"
"Globally Editable","Možno globalno urejanje"
"Go to Home Page","Pojdite na domačo stran"
"Grid","Mreža"
"Group add","Dodajanje skupine"
"Group remove","Odstranjevanje skupine"
"Grouped Product","Produkti v skupini"
"Groups","Skupine"
"Home","Domov"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Če je prazno, bo uporabljeno ime kategorije"
"If empty, the Product Name will be used","Če je prazno, bo uporabljeno ime produkta"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Če ne določite vrednosti možnosti za določen pogled trgovine, potem bo uporabljena privzeta vrednost (Admin)."
"Image","Slika"
"Image content is not valid base64 data.","Vsebina slike niso veljavni base64 podatki."
"Image does not exist.","Slika ne obstaja."
"Image file was not found.","Datoteka slike ni bila najdena."
"Image type and information need to be specified for each store view.","Tip slike in informacije morajo biti določene za vsak pogled trgovine."
"In Cart","V košarici"
"In Stock","Na zalogi"
"In stock","Na zalogi"
"Incl. Tax","Vključno z davkom"
"Index product and categories URL rewrites","Indeksiranje URL prepisov produktov in kategorij"
"Index product attributes for layered navigation building","Indeksiranje atributov produkta za gradnjo nivojske navigacije"
"Index product prices","Indeksiranje cen produktov"
"Indexed category/products association","Indeksirana povezava kategorije/produktov"
"Info","Informacije"
"Info Column Options Wrapper","Ovoj možnosti stolpca informacij"
"Input Type","Tip vnosa"
"Integer","Celo število"
"Interval Division Limit","Omejitev delitve intervala"
"Invalid Tier Prices","Neveljavne stopnje cen"
"Invalid attribute %s","Neveljaven atribut %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s.","Invalid block: %s."
"Invalid category IDs.","Invalid category IDs."
"Invalid category.","Invalid category."
"Invalid image file type.","Invalid image file type."
"Invalid image type.","Invalid image type."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Invalid store specified"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Inventory"
"Is Default","Is Default"
"Is Required","Is Required"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","Label"
"Last Name","Last Name"
"Last Notification","Last Notification"
"Layered Navigation","Layered Navigation"
"Learn More","Learn More"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product does not exist.","Link product does not exist."
"Link to a Specified Category","Link to a Specified Category"
"Link to a Specified Product","Link to a Specified Product"
"List","List"
"List Mode","List Mode"
"List of Products that are set as New","List of Products that are set as New"
"List of types","List of types"
"Manage Attribute Sets","Manage Attribute Sets"
"Manage Attributes","Manage Attributes"
"Manage Catalog Categories","Manage Catalog Categories"
"Manage Categories","Manage Categories"
"Manage Label / Options","Manage Label / Options"
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Manage Product Attributes","Manage Product Attributes"
"Manage Product Sets","Manage Product Sets"
"Manage Products","Manage Products"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Manage Titles (Size, Color, etc.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters:","Maximum number of characters:"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Maximum width base product image will be scaled down to in pixels","Maximum width base product image will be scaled down to in pixels"
"Maximum width small product image will be scaled down to in pixels","Maximum width small product image will be scaled down to in pixels"
"Media Image","Media Image"
"Middle Name","Middle Name"
"Minimum Advertised Price","Minimum Advertised Price"
"Minimum Lines per Page","Minimum Lines per Page"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum Qty for Item\'s Status to be Out of Stock"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"More Views","More Views"
"Move","Move"
"Move category in tree","Move category in tree"
"Multi update product","Multi update product"
"Must be in the allowed values list.","Must be in the allowed values list."
"My Account","My Account"
"N/A","N/A"
"Name","Name"
"Name in %s","Name in %s"
"New Product","New Product"
"New Product Attribute","New Product Attribute"
"New Products","New Products"
"New Products Grid Template","New Products Grid Template"
"New Products List Template","New Products List Template"
"New Root Category","New Root Category"
"New Search","New Search"
"New Set Name","New Set Name"
"New Subcategory","New Subcategory"
"New products","New products"
"Next","Next"
"No","No"
"No image","No image"
"No layout updates","No layout updates"
"No options of this product are available.","No options of this product are available."
"No product collections found.","No product collections found."
"None","None"
"Not Visible Individually","Not Visible Individually"
"Notify Low Stock RSS","Notify Low Stock RSS"
"Notify for Quantity Below","Notify for Quantity Below"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Number of Products to Display"
"Number of Uses","Number of Uses"
"Number of results","Number of results"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"OK","OK"
"OR","OR"
"Old Price:","Old Price:"
"On Gesture","On Gesture"
"Option validation failed to add product to cart.","Option validation failed to add product to cart."
"Option values","Option values"
"Option:","Option:"
"Options","Options"
"Options Control","Options Control"
"Options is required","Options is required"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Out of Stock"
"Out of stock","Out of stock"
"PM","PM"
"Page Title Separator","Page Title Separator"
"Parent Category","Parent Category"
"Pending","Pending"
"Pending Reviews RSS","Pending Reviews RSS"
"Percentage","Percentage"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on the Close Window button if it is not closed automatically.","Please click on the Close Window button if it is not closed automatically."
"Please enter a new group name","Please enter a new group name"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select a static block ...","Please select a static block ..."
"Please select items.","Please select items."
"Please select one or more attributes.","Please select one or more attributes."
"Please select product(s).","Please select product(s)."
"Please select products for attributes update","Please select products for attributes update"
"Please set up merge date/time","Please set up merge date/time"
"Please set up merge date/time later then present date","Please set up merge date/time later then present date"
"Please specify date required option(s).","Please specify date required option(s)."
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product required option(s).","Please specify the product required option(s)."
"Please specify the product\'s option(s).","Please specify the product\'s option(s)."
"Please specify the product\'s required option(s).","Please specify the product\'s required option(s)."
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Please specify time required option(s).","Please specify time required option(s)."
"Please wait...","Please wait..."
"Position","Position"
"Position in Layered Navigation","Position in Layered Navigation"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Prev","Prev"
"Previous","Previous"
"Price","Price"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Price Type","Price Type"
"Price is not available","Price is not available"
"Price values for options should be specified in system base currency.","Price values for options should be specified in system base currency."
"Price:","Price:"
"Price: %s","Price: %s"
"Print This Page","Print This Page"
"Product","Product"
"Product API","Product API"
"Product Alerts","Product Alerts"
"Product Attribute","Product Attribute"
"Product Attributes","Product Attributes"
"Product Categories","Product Categories"
"Product Description","Product Description"
"Product Extra Info","Product Extra Info"
"Product Flat Data","Product Flat Data"
"Product ID","Product ID"
"Product Image","Product Image"
"Product Image Placeholders","Product Image Placeholders"
"Product Image Watermarks","Product Image Watermarks"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","Product In Websites"
"Product Info Column","Product Info Column"
"Product Information","Product Information"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Product Listing Sort by","Product Listing Sort by"
"Product Name","Product Name"
"Product Prices","Product Prices"
"Product Reviews","Product Reviews"
"Product Tags","Product Tags"
"Product Tier Price API","Product Tier Price API"
"Product Type","Product Type"
"Product URL Suffix","Product URL Suffix"
"Product View Extra Hint","Product View Extra Hint"
"Product attribute sets API","Product attribute sets API"
"Product attributes API","Product attributes API"
"Product collection expected.","Product collection expected."
"Product is not loaded","Product is not loaded"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product types API","Product types API"
"Product with this combination of attributes already associated to configurable.","Product with this combination of attributes already associated to configurable."
"Products","Products"
"Products Comparison List","Products Comparison List"
"Products Information","Products Information"
"Products Reviews","Products Reviews"
"Products Sitemap","Products Sitemap"
"Products only","Products only"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Properties","Properties"
"Qty","Qty"
"Qty Increments","Qty Increments"
"Qty Uses Decimals","Qty Uses Decimals"
"Qty for Item\'s Status to Become Out of Stock","Qty for Item\'s Status to Become Out of Stock"
"Qty:","Qty:"
"Quantity","Quantity"
"Quick Create","Quick Create"
"Quick Overview","Quick Overview"
"Quick simple product creation","Quick simple product creation"
"Records for ""%s"" store found.","Records for ""%s"" store found."
"Redirect","Redirect"
